subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,alpha_EJR
5,"[0, 1, 3, 4, 11]",3700,2384,1662440,2840536,True,1.0,0.7668393782383419,0.9020052970109724,0.7882347976617149,0.8135800994614486,1.0
5,"[0, 1, 3, 5, 6]",2873,1993,1164613,1985028,True,1.0,0.5954404145077721,0.7540673477109345,0.5521934580551495,0.5685473719304245,1.0
5,"[0, 1, 3, 5, 7]",3807,2122,1567137,2250381,True,1.0,0.7890155440414508,0.802875520242149,0.7430475181679861,0.6445491969847079,1.0
5,"[0, 1, 3, 5, 8]",2722,1894,1142977,1792671,True,1.0,0.5641450777202073,0.7166099129776768,0.541934893486077,0.5134529013121659,1.0
5,"[0, 1, 3, 5, 9]",2943,2041,1182674,2081820,True,1.0,0.6099481865284974,0.7722285281876655,0.5607569603051966,0.5962703245657978,1.0
5,"[0, 1, 3, 5, 10]",2881,1909,1155918,1821186,True,1.0,0.5970984455958549,0.7222852818766553,0.548070782009296,0.5216201051554347,1.0
5,"[0, 1, 3, 5, 11]",3847,2417,1699259,2919736,True,1.0,0.7973056994818652,0.914491108588725,0.8056922800461057,0.836264389988781,1.0
5,"[0, 1, 3, 6, 7]",3593,2213,1555150,2447578,True,1.0,0.7446632124352331,0.8373060915626183,0.7373639623587113,0.7010299298018591,1.0
5,"[0, 1, 3, 6, 8]",2508,1915,1102153,1832655,True,1.0,0.5197927461139896,0.7245554294362467,0.5225784671610717,0.5249050310147525,1.0
5,"[0, 1, 3, 6, 9]",2729,2009,1137827,2017036,True,1.0,0.5655958549222798,0.7601210745365116,0.5394930554600683,0.5777150331829354,1.0
5,"[0, 1, 3, 6, 10]",2667,1939,1116037,1878891,True,1.0,0.5527461139896374,0.7336360196746122,0.5291614728218687,0.5381478448635119,1.0
5,"[0, 1, 3, 6, 11]",3633,2365,1648852,2795430,True,1.0,0.7529533678756477,0.8948164964055997,0.7817921384195002,0.8006609377376372,1.0
5,"[0, 1, 3, 7, 8]",3442,2109,1533541,2222886,True,1.0,0.7133678756476683,0.7979568671963677,0.7271181996589013,0.6366741393073214,1.0
5,"[0, 1, 3, 7, 9]",3663,2258,1573041,2548153,True,1.0,0.7591709844559585,0.8543321982595535,0.7458468602467347,0.729836401011284,1.0
5,"[0, 1, 3, 7, 10]",3601,2120,1543421,2246140,True,1.0,0.7463212435233161,0.802118804388952,0.7318027355223897,0.6433344990538188,1.0
5,"[0, 1, 3, 7, 11]",4567,2602,2078958,3383901,True,1.0,0.9465284974093264,0.9844873250094589,0.9857240191990108,0.9692095126228625,1.0
5,"[0, 1, 3, 8, 9]",2578,1968,1120285,1935528,True,1.0,0.534300518134715,0.7446083995459705,0.5311756335858463,0.5543696903508417,1.0
5,"[0, 1, 3, 8, 10]",2516,1841,1094430,1693720,True,1.0,0.5214507772020726,0.6965569428679531,0.5189166584086707,0.4851115726256751,1.0
5,"[0, 1, 3, 8, 11]",3482,2350,1638493,2760075,True,1.0,0.7216580310880829,0.8891411275066212,0.7768804879124276,0.790534636076099,1.0
5,"[0, 1, 3, 9, 10]",2737,1984,1134032,1967136,True,1.0,0.5672538860103626,0.7506621263715475,0.5376936816137183,0.5634227844794771,1.0
5,"[0, 1, 3, 9, 11]",3703,2386,1658076,2845305,True,1.0,0.7674611398963731,0.9027620128641695,0.7861656362742387,0.8149460259958532,1.0
5,"[0, 1, 3, 10, 11]",3641,2364,1652162,2793066,True,1.0,0.7546113989637305,0.8944381384790011,0.78336155276243,0.7999838460355335,1.0
5,"[0, 1, 4, 5, 6]",1842,1258,360543,790653,False,0.99609375,0.3817616580310881,0.4759742716609913,0.1709490499827649,0.22645710048367376,0.99609375
5,"[0, 1, 4, 5, 7]",2776,1588,894071,1260078,False,0.99609375,0.5753367875647668,0.6008323874385169,0.4239177797575895,0.36090878079671695,0.99609375
5,"[0, 1, 4, 5, 8]",1691,1110,335420,615495,False,0.99609375,0.35046632124352334,0.4199772985244041,0.15903714770559685,0.17628872977424834,0.99609375
5,"[0, 1, 4, 5, 9]",1912,1301,379063,845650,False,0.99609375,0.3962694300518135,0.49224366250472945,0.17973018401027563,0.24220922076311444,0.99609375
5,"[0, 1, 4, 5, 10]",1850,1119,349111,625521,False,0.99609375,0.38341968911917096,0.42338251986379116,0.1655286437083317,0.17916035473418565,0.99609375
5,"[0, 1, 4, 5, 11]",2816,2043,1057890,2085903,True,1.0,0.5836269430051814,0.7729852440408627,0.5015914620066598,0.597439768482756,1.0
5,"[0, 1, 4, 6, 7]",2562,1696,874043,1437360,False,0.99609375,0.5309844559585493,0.6416950435111616,0.41442163762459894,0.4116855029339208,0.99609375
5,"[0, 1, 4, 6, 8]",1477,1101,280468,605550,False,0.99609375,0.3061139896373057,0.41657207718501704,0.13298202475312543,0.1734403046568958,0.99609375
