subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,alpha_EJR
4,"[1, 2, 3, 4]",56,28,301,378,True,1.0,0.9180327868852459,0.9032258064516129,0.9204892966360856,0.8129032258064516,1.0
4,"[1, 2, 3, 5]",47,27,229,351,True,1.0,0.7704918032786885,0.8709677419354839,0.7003058103975535,0.7548387096774194,1.0
4,"[1, 2, 3, 6]",43,26,212,325,True,1.0,0.7049180327868853,0.8387096774193549,0.6483180428134556,0.6989247311827957,1.0
4,"[1, 2, 3, 7]",48,26,240,325,True,1.0,0.7868852459016393,0.8387096774193549,0.7339449541284404,0.6989247311827957,1.0
4,"[1, 2, 4, 5]",49,29,283,406,True,1.0,0.8032786885245902,0.9354838709677419,0.8654434250764526,0.8731182795698925,1.0
4,"[1, 2, 4, 6]",45,27,247,351,True,1.0,0.7377049180327869,0.8709677419354839,0.7553516819571865,0.7548387096774194,1.0
4,"[1, 2, 4, 7]",50,27,257,351,True,1.0,0.819672131147541,0.8709677419354839,0.7859327217125383,0.7548387096774194,1.0
4,"[1, 2, 5, 6]",36,26,136,325,True,1.0,0.5901639344262295,0.8387096774193549,0.41590214067278286,0.6989247311827957,1.0
4,"[1, 2, 5, 7]",41,25,169,300,True,1.0,0.6721311475409836,0.8064516129032258,0.5168195718654435,0.6451612903225806,1.0
4,"[1, 2, 6, 7]",37,23,138,253,True,1.0,0.6065573770491803,0.7419354838709677,0.42201834862385323,0.5440860215053763,1.0
4,"[1, 3, 4, 5]",57,29,307,406,True,1.0,0.9344262295081968,0.9354838709677419,0.9388379204892966,0.8731182795698925,1.0
4,"[1, 3, 4, 6]",53,27,281,351,True,1.0,0.8688524590163934,0.8709677419354839,0.8593272171253823,0.7548387096774194,1.0
4,"[1, 3, 4, 7]",58,27,293,351,True,1.0,0.9508196721311475,0.8709677419354839,0.8960244648318043,0.7548387096774194,1.0
4,"[1, 3, 5, 6]",44,25,213,300,True,1.0,0.7213114754098361,0.8064516129032258,0.6513761467889908,0.6451612903225806,1.0
4,"[1, 3, 5, 7]",49,27,242,351,True,1.0,0.8032786885245902,0.8709677419354839,0.7400611620795107,0.7548387096774194,1.0
4,"[1, 3, 6, 7]",45,25,224,300,True,1.0,0.7377049180327869,0.8064516129032258,0.6850152905198776,0.6451612903225806,1.0
